"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"8907",2,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,4
"8908",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,2
"8909",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,2
"8910",1,2,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,4
"8911",1,3,1,1,0,NA,NA,NA,2,NA,NA,4,4,4,1,NA,NA,2,4,4
"8912",1,3,2,NA,NA,3,3,3,2,NA,NA,4,4,4,1,NA,NA,2,2,3
"8913",1,3,2,NA,NA,3,4,4,2,NA,NA,4,4,4,1,NA,NA,2,4,3
"8914",2,3,2,NA,NA,4,4,4,2,NA,NA,3,4,4,1,NA,NA,3,3,4
"8915",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,4
"8916",1,3,2,NA,NA,3,4,4,2,NA,NA,3,4,4,1,NA,NA,2,3,3
"8917",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,2
"8918",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,5,4
"8919",1,3,1,6,30,NA,NA,NA,1,0,6,NA,NA,NA,NA,1,5,NA,NA,NA
"8920",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,3,3
"8921",1,3,1,4,12,NA,NA,NA,2,NA,NA,4,4,4,1,2,1,2,3,3
"8922",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,NA,NA
"8923",1,3,2,NA,NA,3,4,4,2,NA,NA,4,4,4,1,NA,NA,1,1,2
"8924",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,2
"8925",1,3,1,1,0,NA,NA,NA,2,NA,NA,4,4,4,1,NA,NA,1,4,5
"8926",2,3,2,NA,NA,3,4,4,2,NA,NA,2,4,4,1,NA,NA,1,4,4
"8927",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,2
"8928",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,5
"8929",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,3
"8930",2,3,2,NA,NA,3,4,4,2,NA,NA,3,4,4,1,NA,NA,1,2,3
"8931",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,2
"8932",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,4
"8933",1,3,2,NA,NA,3,3,4,2,NA,NA,2,3,4,2,NA,NA,2,2,3
"8934",1,3,2,NA,NA,3,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,4
"8935",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,4
"8936",1,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,4,3
"8937",1,3,2,NA,NA,2,4,4,2,NA,NA,2,4,4,1,NA,NA,1,2,2
"8938",2,3,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,2,4,3
"8939",1,4,1,1,0,NA,NA,NA,2,NA,NA,4,4,3,1,NA,NA,1,3,2
"8940",2,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8941",1,4,2,NA,NA,4,4,4,2,NA,NA,3,4,4,1,NA,NA,1,3,2
"8942",2,4,2,NA,NA,3,4,4,2,NA,NA,4,4,4,1,NA,NA,2,4,3
"8943",2,4,1,2,0,NA,NA,NA,2,NA,NA,2,3,3,1,NA,NA,2,4,5
"8944",1,4,2,NA,NA,2,3,3,2,NA,NA,2,3,3,1,NA,NA,4,1,1
"8945",1,4,2,NA,NA,1,4,4,2,NA,NA,3,4,4,1,NA,NA,1,4,3
"8946",2,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,2,2
"8947",2,4,2,NA,NA,2,3,2,2,NA,NA,4,4,4,1,NA,NA,2,3,3
"8948",2,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,3,4
"8949",2,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,2
"8950",1,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,2
"8951",2,4,2,NA,NA,3,3,3,2,NA,NA,4,3,3,1,NA,NA,2,3,2
"8952",2,4,2,NA,NA,3,4,4,2,NA,NA,4,4,4,2,NA,NA,1,3,3
"8953",2,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,4,4
"8954",2,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4
"8955",1,4,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8956",2,4,2,NA,NA,3,3,3,2,NA,NA,4,3,3,2,NA,NA,1,4,4
"8957",1,5,2,NA,NA,3,4,4,2,NA,NA,3,4,4,2,NA,NA,2,3,2
"8958",2,5,2,NA,NA,3,3,3,1,0,4,NA,NA,NA,1,NA,NA,2,4,4
"8959",2,5,2,NA,NA,1,3,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8960",1,5,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8961",2,5,2,NA,NA,2,1,2,2,NA,NA,4,4,4,1,2,NA,2,3,3
"8962",1,5,1,2,0,NA,NA,NA,1,0,4,NA,NA,NA,3,NA,NA,3,3,4
"8963",1,5,2,NA,NA,3,3,3,2,NA,NA,4,4,4,1,NA,NA,2,2,2
"8964",1,5,2,NA,NA,3,4,4,2,NA,NA,4,4,4,1,NA,NA,3,3,3
"8965",NA,5,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,2,4,4
"8966",1,5,1,2,0,NA,NA,NA,2,NA,NA,3,3,3,1,NA,NA,2,3,2
"8967",1,5,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,3,2,4
"8968",1,5,1,6,30,NA,NA,NA,1,1,2,NA,NA,NA,2,2,2,2,3,4
"8969",1,5,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,2
"8970",1,5,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,2,3
"8971",2,5,2,NA,NA,4,3,4,2,NA,NA,3,4,4,3,NA,NA,3,3,3
"8972",1,5,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,4,3
"8973",2,5,1,4,0,NA,NA,NA,2,NA,NA,4,4,4,1,NA,NA,2,3,4
"8974",2,5,1,6,23,NA,NA,NA,2,NA,NA,4,4,4,1,2,NA,2,2,1
"8975",2,5,1,3,15,NA,NA,NA,2,NA,NA,4,4,4,1,2,5,2,4,2
"8976",1,5,2,NA,NA,3,3,3,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8977",1,5,1,1,0,NA,NA,NA,1,0,4,NA,NA,NA,2,NA,NA,2,4,3
"8978",2,5,2,NA,NA,1,3,3,2,NA,NA,4,4,4,2,NA,NA,1,4,4
"8979",2,5,2,NA,NA,4,4,4,2,NA,NA,2,4,4,1,NA,NA,1,3,3
"8980",1,6,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8981",2,6,1,5,0,NA,NA,NA,1,0,6,NA,NA,NA,1,NA,NA,1,3,3
"8982",2,6,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,2
"8983",1,6,1,2,1,NA,NA,NA,2,NA,NA,4,4,4,1,2,5,3,3,3
"8984",2,6,2,NA,NA,3,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,3
"8985",1,6,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,4,3
"8986",2,6,1,2,2,NA,NA,NA,2,NA,NA,2,3,3,1,2,4,2,4,3
"8987",2,6,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,5,3
"8988",1,6,1,1,0,NA,NA,NA,2,NA,NA,4,4,4,2,NA,NA,1,3,1
"8989",2,6,1,2,2,NA,NA,NA,2,NA,NA,3,3,3,1,2,5,1,3,4
"8990",1,6,1,1,0,NA,NA,NA,2,NA,NA,4,4,4,1,NA,NA,2,3,2
"8991",2,6,1,1,0,NA,NA,NA,2,NA,NA,2,3,4,2,NA,NA,1,3,3
"8992",1,6,1,6,5,NA,NA,NA,1,0,4,NA,NA,NA,3,1,5,2,2,2
"8993",2,6,2,NA,NA,2,4,4,2,NA,NA,4,4,4,1,NA,NA,2,4,2
"8994",1,6,2,NA,NA,4,4,3,2,NA,NA,4,4,4,1,NA,NA,2,3,3
"8995",2,6,1,6,12,NA,NA,NA,2,NA,NA,4,4,4,1,2,5,2,2,2
"8996",1,6,2,NA,NA,2,3,3,2,NA,NA,4,4,4,2,NA,NA,1,4,3
"8997",2,6,2,NA,NA,3,4,4,2,NA,NA,4,4,4,1,NA,NA,2,3,3
"8998",1,6,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"8999",2,6,1,2,0,NA,NA,NA,2,NA,NA,2,4,4,1,NA,NA,1,4,3
"9000",1,6,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,2,3
"9001",2,6,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,2,4,3
"9002",1,6,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"9003",2,7,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,2
"9004",1,7,1,6,5,NA,NA,NA,1,0,5,NA,NA,NA,1,1,2,2,3,3
"9005",1,7,2,NA,NA,2,2,3,2,NA,NA,2,4,4,1,NA,NA,2,4,3
"9006",1,7,1,6,13,NA,NA,NA,1,0,5,NA,NA,NA,1,2,2,2,2,2
"9007",1,7,1,4,0,NA,NA,NA,1,0,4,NA,NA,NA,1,NA,NA,1,4,3
"9008",1,7,1,4,3,NA,NA,NA,2,NA,NA,2,3,3,1,2,NA,2,3,3
"9009",1,7,1,5,23,NA,NA,NA,1,0,4,NA,NA,NA,1,2,1,2,2,3
"9010",1,7,1,5,7,NA,NA,NA,1,0,4,NA,NA,NA,1,1,2,2,4,4
"9011",1,7,1,6,6,NA,NA,NA,1,0,4,NA,NA,NA,1,2,5,1,1,1
"9012",1,7,1,6,4,NA,NA,NA,1,0,6,NA,NA,NA,1,1,3,1,3,3
"9013",2,7,1,5,0,NA,NA,NA,1,0,5,NA,NA,NA,1,NA,NA,2,3,4
"9014",1,7,1,2,0,NA,NA,NA,2,NA,NA,4,4,4,1,NA,NA,2,2,2
"9015",1,7,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,3,3
"9016",1,7,1,2,0,NA,NA,NA,2,NA,NA,4,4,4,1,NA,NA,1,5,4
"9017",2,7,1,2,0,NA,NA,NA,2,NA,NA,4,4,4,1,NA,NA,1,4,3
"9018",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,4,5
"9019",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,3,3
"9020",2,1,2,NA,NA,3,4,4,2,NA,NA,4,4,4,2,NA,NA,2,3,3
"9021",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,2,2,3
"9022",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,3,4
"9023",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,2,4
"9024",1,1,2,NA,NA,1,3,4,2,NA,NA,1,3,4,1,NA,NA,1,2,2
"9025",1,1,2,NA,NA,4,3,4,2,NA,NA,4,3,4,1,NA,NA,1,4,3
"9026",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,2,NA,NA,1,2,2
"9027",1,1,2,NA,NA,3,4,4,2,NA,NA,3,4,4,1,NA,NA,1,4,6
"9028",1,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,NA,4
"9029",1,1,2,NA,NA,3,4,2,2,NA,NA,4,4,4,2,NA,NA,2,2,2
"9030",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,1,NA,NA,1,5,5
"9031",2,1,2,NA,NA,4,3,4,2,NA,NA,2,4,4,3,NA,NA,2,4,3
"9032",2,1,2,NA,NA,3,4,4,2,NA,NA,4,4,4,2,NA,NA,2,3,3
"9033",1,1,2,NA,NA,4,3,3,2,NA,NA,4,4,3,1,NA,NA,2,3,4
"9034",2,1,2,NA,NA,1,3,3,2,NA,NA,4,4,4,1,NA,NA,1,3,5
"9035",1,1,2,NA,NA,1,1,1,2,NA,NA,4,4,4,1,NA,NA,2,4,3
"9036",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,1,3,3
"9037",2,1,1,3,10,NA,NA,NA,1,1,3,NA,NA,NA,1,2,2,4,4,4
"9038",2,1,2,NA,NA,4,4,4,2,NA,NA,4,4,4,3,NA,NA,2,2,2
"9039",1,1,2,NA,NA,3,4,4,2,NA,NA,4,4,4,3,NA,NA,1,3,3
