"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"8670","F","6th","No",NA,NA,"No","Yes","No","No",NA,NA,"No","Yes","No","Yes",NA,NA,"Yes","Never","Never"
"8671","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Most of the time"
"8672","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"8673","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Rarely"
"8674","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8675","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Never","Rarely"
"8676","M","6th","No",NA,NA,NA,"No","No","No",NA,NA,"No","No","No",NA,NA,NA,NA,"I do not use the internet","I do not use the internet"
"8677","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Sometimes"
"8678","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"8679","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Never"
"8680","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Sometimes"
"8681","M","6th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","Yes","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8682","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"8683","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Most of the time","Most of the time"
"8684","F","6th","No",NA,NA,NA,NA,NA,"No",NA,NA,"Yes","No","No","Yes",NA,NA,"No","Always","Sometimes"
"8685","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Sometimes"
"8686","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8687","F","6th","No",NA,NA,"Yes","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Sometimes","Always"
"8688","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Never"
"8689","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Most of the time"
"8690","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA
"8691","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Rarely","Rarely"
"8692","F","6th","No",NA,NA,"No","No","No","Yes","0","5 Years Ago",NA,NA,NA,"No",NA,NA,"No","Sometimes","Most of the time"
"8693","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Never"
"8694","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Rarely"
"8695","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Always","Always"
"8696","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Never","Most of the time"
"8697","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"No","Rarely","Rarely"
"8698","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Never","Never"
"8699","F","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Always"
"8700","M","6th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Always","Always"
"8701","F","7th","No",NA,NA,"Yes","Yes","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Sometimes","Sometimes"
"8702","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Rarely","Rarely"
"8703","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"8704","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","Yes","No","Yes",NA,NA,"Yes","Always","Never"
"8705","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Sometimes"
"8706","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8707","F","7th","Yes","3","2",NA,NA,NA,"No",NA,NA,"No","No","No","No","No","No","Yes","Sometimes","Always"
"8708","M","7th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"8709","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8710","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Rarely"
"8711","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Sometimes"
"8712","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"No","Most of the time","Most of the time"
"8713","M","7th","Yes","3","3",NA,NA,NA,"No",NA,NA,"No","No","No","No","No","No","Yes","Rarely","Sometimes"
"8714","M","7th","Yes",NA,NA,NA,NA,NA,"No",NA,NA,"No","No","No","No",NA,NA,"No","Always","Never"
"8715","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Rarely"
"8716","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Never"
"8717","F","7th","Yes","1","15",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure","No","No","No","Most of the time","Always"
"8718","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8719","M","Unplaced","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,NA,"Always","Never"
"8720","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Most of the time"
"8721","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Rarely"
"8722","M","7th","Yes","6","20",NA,NA,NA,"No",NA,NA,"No","No","No","Not sure","No","No","Yes","Sometimes","Sometimes"
"8723","F","7th","Yes","1","1",NA,NA,NA,"No",NA,NA,"No","No","No","No","No",NA,"Yes","Sometimes","Never"
"8724","F","7th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Most of the time","Sometimes"
"8725","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Rarely"
"8726","M","7th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8727","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Most of the time","Rarely"
"8728","M","7th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8729","M","7th","No",NA,NA,"Yes","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8730","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","No",NA,NA,"Yes","Never","Never"
"8731","M","7th","Yes","1","0",NA,NA,NA,"No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Most of the time"
"8732","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Sometimes"
"8733","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"Yes","No","No","Yes",NA,NA,"Yes","Never","Never"
"8734","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Not sure",NA,NA,"Yes","Rarely","Rarely"
"8735","F","7th","No",NA,NA,"Yes","No","No","Yes","0","1-4 Years Ago",NA,NA,NA,"Yes",NA,NA,"Yes","Most of the time","Always"
"8736","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Rarely"
"8737","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Rarely","Sometimes"
"8738","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"Yes","No","No","Not sure",NA,NA,"Yes","Rarely","Rarely"
"8739","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Sometimes","Sometimes"
"8740","F","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Always","Most of the time"
"8741","M","7th","No",NA,NA,NA,"No","No","No",NA,NA,"No","Yes","No","No","No","No","No",NA,"I do not use the internet"
"8742","M","7th","No",NA,NA,"No","No","No","No",NA,NA,"No","No","No","Yes",NA,NA,"Yes","Most of the time","Sometimes"
