"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"138",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","1","2","S","1","3","1"
"139",2019,"1","6","2","S","S","4","4","4","1","1","3","S","S","S","1","4","3","1","4","6"
"140",2019,"2","6","2","S","S","2","4","4","2","S","S","4","4","4","1","3","S","1","2","2"
"141",2019,"2","6","1","2","0","S","S","S","2","S","S","2","2","4","1","1","S","2","2","2"
"142",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","2","1","S","2","3","4"
"143",2019,"1","6","1","3","3","S","S","S","2","S","S","1","3","3","1","2","5","3","2","3"
"144",2019,"2","6","2","S","S","4","4","4","1","0","N","S","S","S","1","1","1","2","2","3"
"145",2019,"1","6","2","S","S","4","4","4","2","S","S","4","4","4","1","5","S","1","3","6"
"146",2019,"1","6","1","1","0","S","S","S","1","0","6","S","S","S","1","2","N","1","2","2"
"147",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","2","2","S","2","2","2"
"148",2019,"1","6","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","1","2","2"
"149",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","1","2","S","1","3","2"
"150",2019,"2","6","2","S","S","4","4","4","2","S","S","4","4","4","1","2","S","2","5","4"
"151",2019,"1","6","1","1","0","S","S","S","2","S","S","2","2","2","1","1","S","2","3","3"
"152",2019,"1","6","2","S","S","2","4","4","2","S","S","4","4","4","1","1","S","2","2","2"
"153",2019,"1","6","1","2","0","S","S","S","1","0","4","S","S","S","1","3","S","2","4","3"
"154",2019,"2","6","2","S","S","1","3","3","2","S","S","2","3","3","1","1","S","1","2","3"
"155",2019,"2","7","2","S","S","4","4","4","2","S","S","4","4","4","1","2","S","2","2","3"
"156",2019,"1","7","1","2","2","S","S","S","1","0","6","S","S","S","1","3","N","1","4","3"
"157",2019,"1","7","1","1","1","S","S","S","1","1","E","S","S","S","1","4","1","1","4","4"
"158",2019,"1","7","2","S","S","4","4","4","2","S","S","4","4","4","2","1","S","1","4","4"
"159",2019,"1","7","2","S","S","4","4","4","2","S","S","4","4","4","2","3","S","1","2","3"
"160",2019,"1","7","1","5","0","S","S","S","1","0","4","S","S","S","1","4","S","2","4","3"
"161",2019,"1","7","1","2","2","S","S","S","1","0","5","S","S","S","N","N","N","N","N","N"
"162",2019,"1","7","1","6","20","S","S","S","1","4","3","S","S","S","2","2","1","4","2","2"
"163",2019,"2","7","1","3","3","S","S","S","1","20","2","S","S","S","2","1","5","2","2","4"
"164",2019,"1","7","1","3","0","S","S","S","1","0","4","S","S","S","2","1","S","2","3","3"
"165",2019,"2","7","2","S","S","4","4","4","2","S","S","4","4","4","1","1","S","3","2","4"
"166",2019,"2","7","2","S","S","4","4","4","2","S","S","4","4","4","2","N","S","2","3","2"
"167",2019,"1","7","2","S","S","2","2","2","2","S","S","1","3","3","1","1","S","2","5","5"
"168",2019,"2","7","1","1","0","S","S","S","1","5","2","S","S","S","1","3","2","1","4","2"
"169",2019,"1","7","1","4","4","S","S","S","1","0","5","S","S","S","1","2","1","2","3","2"
"170",2019,"2","7","1","5","10","S","S","S","1","0","6","S","S","S","1","1","2","1","4","4"
"171",2019,"2","7","2","S","S","2","4","4","2","S","S","4","4","4","2","1","S","3","4","3"
"172",2019,"2","7","2","S","S","2","2","3","2","S","S","2","2","3","1","2","S","2","4","3"
"173",2019,"1","7","2","S","S","3","3","3","1","0","7","S","S","S","2","1","S","2","2","3"
"174",2019,"1","7","2","S","S","2","3","3","2","S","S","3","3","3","1","4","S","2","4","5"
