"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"14585","F","7th","Yes","1","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","5","S","Yes","Most of the time","Most of the time",NA
"14586","N","7th","Yes","15","Last Year","S","S","S","Yes","2","Last 7 Days","S","S","S","Yes","Yes","No","No","Always","Never",NA
"14587","M","7th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Always","Sometimes",NA
"14588","M","7th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"14589","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Sometimes",NA
"14590","F","7th","No","S","S","Yes","Yes","Yes","No","S","S","No","No","No","Yes","Yes","S","No","Never","Never",NA
"14591","F","7th","Yes","1","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","No","Yes","S","Yes","Never","Never",NA
"14592","M","7th","Yes","75","Last 7 Days","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","No","Yes","Yes","Sometimes","Never",NA
"14593","M","7th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"14594","M","7th","Yes","35","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","S","No","Most of the time","Sometimes",NA
"14595","M","7th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","No","S","Yes","Always","Rarely",NA
"14596","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"14597","M","7th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"14598","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"14599","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Never",NA
"14600","M","8th","Yes","75","Last 6 Months","S","S","S","No","S","S","Yes","No","No","Yes","Yes","Yes","Yes","Never","Rarely",NA
"14601","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Never","Never",NA
"14602","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","No","No","S","No","Never","Never",NA
"14603","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","No","S","Yes","Never","Rarely",NA
"14604","F","8th","Yes","75","12","S","S","S","Yes","23","Today","S","S","S","Yes","3","No","Yes","N","Sometimes",NA
"14605","M","8th","Yes","75","10","S","S","S","No","S","S","Yes","Yes","No","Yes","Yes","Yes","Yes","Rarely","Rarely",NA
"14606","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Most of the time",NA
"14607","M","8th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Most of the time","Rarely",NA
"14608","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Most of the time",NA
"14609","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Most of the time",NA
"14610","M","8th","Yes","15","0","S","S","S","Yes","0","Last Year","S","S","S","Yes","No","Yes","Yes","Sometimes","Sometimes",NA
"14611","F","8th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"14612","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"14613","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"14614","F","8th","Yes","75","0","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","Yes","S","No","Most of the time","Sometimes",NA
"14615","M","8th","Yes","75","16","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","3","No","Yes","Sometimes","Never",NA
"14616","M","8th","Yes","100","0","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","3","S","Yes","Sometimes","Rarely",NA
"14617","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","N","S","Yes","N","N",NA
"14618","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Never",NA
"14619","M","8th","No","S","S","Yes","No","No","No","S","S","No","No","No","Not sure","4","S","Yes","Rarely","Rarely",NA
"14620","F","6th","No","S","S","Yes","No","No","No","S","S","No","No","No","No","4","S","Yes","Never","Sometimes",NA
"14621","M","6th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Never","Sometimes",NA
"14622","M","9th","Yes","1","0","S","S","S","Yes","0","5 Years Ago","S","S","S","Yes","4","S","Yes","Rarely","Sometimes",NA
"14623","F","9th","Yes","1","Last 7 Days","S","S","S","Yes","0","1-4 Years Ago","S","S","S","N","3","N","Yes","Rarely","Rarely",NA
