"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet","Cigarette_Last_Usedd"
"1005","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","No","Never","Never",NA
"1006","F","7th","Yes","75","Last 7 Days","S","S","S","Yes","1","Last 7 Days","S","S","S","Yes","Yes","Yes","Yes","Sometimes","Sometimes",NA
"1007","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","No","6","S","Yes","Always","I do not use the internet",NA
"1008","F","7th","Yes","1","0","S","S","S","No","S","S","No","Yes","No","Not sure","Yes","S","Yes","Sometimes","Most of the time",NA
"1009","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1010","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","N","N","No","Yes","Always","Never",NA
"1011","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"1012","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","No","Yes","Rarely","Rarely",NA
"1013","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"1014","F","7th","No","S","S","No","Yes","No","No","S","S","Yes","No","No","Yes","Yes","No","Yes","I do not use the internet","Rarely",NA
"1015","M","7th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Never",NA
"1016","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
"1017","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","No","Sometimes","Sometimes",NA
"1018","F","7th","No","S","S","No","No","No","Yes","0","1-4 Years Ago","S","S","S","No","3","S","Yes","Rarely","Rarely",NA
"1019","F","7th","Yes","1","0","S","S","S","No","S","S","No","No","No","Not sure","Yes","S","Yes","Sometimes","Most of the time",NA
"1020","F","7th","No","S","S","Yes","Yes","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Never","Never",NA
"1021","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Rarely",NA
"1022","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Never",NA
"1023","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","No","Never","Never",NA
"1024","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Most of the time",NA
"1025","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Sometimes",NA
"1026","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Rarely","Sometimes",NA
"1027","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1028","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Never",NA
"1029","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Rarely","Rarely",NA
"1030","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Sometimes","Sometimes",NA
"1031","M","8th","No","S","S","Yes","No","No","No","S","S","No","Yes","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"1032","M","8th","No","S","S","No","No","No","No","S","S","Yes","Yes","No","Yes","No","S","Yes","Rarely","Never",NA
"1033","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Rarely",NA
"1034","M","8th","No","S","S","No","No","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Never","Sometimes",NA
"1035","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","No","Sometimes","Never",NA
"1036","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Never",NA
"1037","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Always",NA
"1038","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Sometimes",NA
"1039","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Rarely","Sometimes",NA
"1040","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Rarely","Rarely",NA
"1041","M","8th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","4","S","Yes","Most of the time","Most of the time",NA
"1042","F","8th","No","S","S","No","No","No","No","S","S","Yes","Yes","Yes","No","6","Yes","Yes","Always","Always",NA
"1043","F","8th","No","S","S","No","No","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Rarely","Sometimes",NA
"1044","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Rarely",NA
"1045","F","8th","Yes","1","Last 6 Months","S","S","S","Yes","1","Last 7 Days","S","S","S","Not sure","N","No","No","Always","Always",NA
"1046","M","8th","No","S","S","Yes","Yes","Yes","No","S","S","No","No","No","Yes","Yes","S","No","Sometimes","Sometimes",NA
"1047","M","N","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Sometimes","Never",NA
"1048","M","N","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Not sure","3","S","Yes","Rarely","Sometimes",NA
"1049","F","8th","Yes","15","Last Month","S","S","S","No","S","S","No","No","No","Not sure","Yes","Yes","Yes","Sometimes","Rarely",NA
"1050","M","8th","No","S","S","No","No","No","No","S","S","Yes","Yes","No","Yes","Yes","S","Yes","Never","Rarely",NA
"1051","F","8th","No","S","S","Yes","No","Yes","No","S","S","Yes","No","No","No","No","S","Yes","Sometimes","Rarely",NA
"1052","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Most of the time",NA
"1053","M","9th","No","S","S","Yes","Yes","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1054","M","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"1055","M","9th","No","S","S","Yes","Yes","Yes","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1056","M","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Never","Never",NA
"1057","M","9th","Yes","15","Last 7 Days","S","S","S","No","S","S","Yes","No","No","Yes","Yes","No","No","Always","Most of the time",NA
"1058","M","9th","Yes","35","0","S","S","S","No","S","S","No","No","No","Yes","N","Yes","Yes","Rarely","Rarely",NA
"1059","M","9th","No","S","S","Yes","Yes","No","No","S","S","Yes","No","No","Yes","4","S","Yes","I do not use the internet","Sometimes",NA
"1060","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1061","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"1062","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"1063","M","10th","Yes","75","Last 7 Days","S","S","S","No","S","S","No","N","No","No","No","N","Yes","Never","Rarely",NA
"1064","M","12th","Yes","15","15","S","S","S","Yes","30","E","S","S","S","Not sure","3","Yes","Yes","Always","Always",NA
"1065","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","No","S","Yes","Never","Never",NA
"1066","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Always","Always",NA
"1067","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Sometimes","Sometimes",NA
"1068","M","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","4","S","Yes","Sometimes","Most of the time",NA
"1069","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","No","S","No","Never","Rarely",NA
"1070","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1071","M","9th","No","S","S","No","Yes","Yes","No","S","S","No","No","No","No","Yes","S","No","Never","Never",NA
"1072","M","12th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Not sure","3","S","Yes","Most of the time","Sometimes",NA
"1073","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Sometimes",NA
"1074","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1075","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","N","S","N","N","N",NA
"1076","M","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","No","Sometimes","Rarely",NA
"1077","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Sometimes",NA
"1078","M","9th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","Not sure","4","S","No","Most of the time","Sometimes",NA
"1079","M","9th","Yes","1","Today","S","S","S","No","S","S","No","No","No","Not sure","Yes","Yes","Yes","Rarely","Rarely",NA
"1080","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1081","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"1082","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Most of the time",NA
"1083","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Never","Never",NA
"1084","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Most of the time","Sometimes",NA
"1085","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Most of the time",NA
"1086","M","10th","Yes","35","10","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","No","Yes","Yes","Rarely","Sometimes",NA
"1087","M","10th","Yes","35","15","S","S","S","No","S","S","Yes","No","No","No","No","Yes","Yes","Rarely","Most of the time",NA
"1088","M","9th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","Yes","No","S","Yes","Sometimes","Rarely",NA
"1089","M","9th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1090","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Most of the time","Rarely",NA
"1091","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Most of the time","Sometimes",NA
"1092","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Most of the time",NA
"1093","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"1094","M","10th","Yes","35","0","S","S","S","No","S","S","No","Yes","No","Yes","No","S","Yes","Rarely","Rarely",NA
"1095","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Rarely",NA
"1096","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"1097","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","4","S","Yes","Sometimes","Sometimes",NA
"1098","M","10th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Never","Rarely",NA
"1099","M","12th","Yes","1","0","S","S","S","No","S","S","No","No","No","No","3","S","Yes","Sometimes","Rarely",NA
"1100","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Always","Rarely",NA
"1101","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Never",NA
"1102","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"1103","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Never","Sometimes",NA
"1104","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Sometimes",NA
"1105","M","12th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"1106","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"1107","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Most of the time",NA
"1108","M","12th","Yes","100","30","S","S","S","Yes","5","3","S","S","S","Yes","N","No","N","N","N","Last Month"
"1109","M","12th","Yes","35","0","S","S","S","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1110","M","12th","No","S","S","No","No","No","No","S","S","Yes","No","No","No","4","S","Yes","Always","Always",NA
"1111","M","12th","No","S","S","Yes","Yes","Yes","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
"1112","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"1113","M","12th","No","S","S","Yes","No","No","No","S","S","No","No","No","No","3","S","Yes","Sometimes","Most of the time",NA
"1114","M","12th","Yes","75","0","S","S","S","No","S","S","Yes","No","No","Yes","No","S","Yes","Always","Sometimes",NA
"1115","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1116","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Rarely","Rarely",NA
"1117","M","12th","Yes","75","Today","S","S","S","No","S","S","Yes","Yes","Yes","Yes","Yes","No","Yes","Sometimes","Sometimes",NA
"1118","M","12th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","3","S","No","Rarely","Rarely",NA
"1119","M","11th","Yes","35","0","S","S","S","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Always",NA
"1120","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1121","M","12th","Yes","75","0","S","S","S","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1122","M","12th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"1123","M","12th","Yes","100","20","S","S","S","No","S","S","No","No","No","Yes","Yes","Yes","Yes","I do not use the internet","I do not use the internet",NA
"1124","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Never",NA
"1125","M","12th","Yes","1","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","No","4","S","Yes","Rarely","Sometimes",NA
"1126","M","12th","Yes","100","30","S","S","S","Yes","30","Today","S","S","S","No","Yes","No","No","I do not use the internet","I do not use the internet",NA
"1127","M","12th","Yes","75","0","S","S","S","No","S","S","Yes","No","No","Yes","4","S","Yes","Sometimes","Sometimes",NA
"1128","M","10th","Yes","15","0","S","S","S","No","S","S","No","No","No","No","3","S","No","Never","Never",NA
"1129","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Sometimes","Never",NA
"1130","M","9th","No","S","S","Yes","No","Yes","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Most of the time","Sometimes",NA
"1131","M","10th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","4","S","Yes","Always","Always",NA
"1132","M","11th","Yes","75","0","S","S","S","Yes","0","1-4 Years Ago","S","S","S","No","Yes","N","Yes","Rarely","Rarely",NA
"1133","M","11th","No","S","S","No","No","N","No","S","S","No","No","No","Not sure","3","S","Yes","Most of the time","Rarely",NA
"1134","M","10th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","No","Yes","S","Yes","Sometimes","Always",NA
"1135","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Most of the time","Most of the time",NA
"1136","M","12th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","No","I do not use the internet","I do not use the internet",NA
"1137","M","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"1138","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","6","S","No","Always","Rarely",NA
"1139","M","10th","Yes","75","0","S","S","S","Yes","0","5 Years Ago","S","S","S","No","No","S","Yes","Sometimes","Most of the time",NA
"1140","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Sometimes",NA
"1141","M","10th","Yes","75","30","S","S","S","No","S","S","No","No","No","Yes","No","Yes","No","Never","Never",NA
"1142","M","10th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","No","S","Yes","Sometimes","Never",NA
"1143","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","4","S","Yes","Always","Most of the time",NA
"1144","M","11th","Yes","1","0","S","S","S","No","S","S","Yes","No","No","No","5","S","Yes","Most of the time","Most of the time",NA
"1145","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","No","6","S","Yes","Sometimes","Sometimes",NA
"1146","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","No","Never","Sometimes",NA
"1147","M","11th","Yes","1","0","S","S","S","No","S","S","No","No","No","Not sure","No","S","Yes","Sometimes","Never",NA
"1148","M","11th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Most of the time",NA
"1149","M","10th","No","S","S","Yes","No","No","No","S","S","No","No","No","No","No","S","No","Rarely","Rarely",NA
"1150","M","12th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","5","S","Yes","Never","Most of the time",NA
"1151","M","12th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Not sure","3","S","Yes","Most of the time","Rarely",NA
"1152","M","11th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1153","F","6th","No","S","S","No","No","No","No","S","S","N","No","No","No","No","S","Yes","Never","Never",NA
"1154","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Most of the time",NA
"1155","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1156","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1157","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Sometimes","Rarely",NA
"1158","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Sometimes",NA
"1159","F","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"1160","M","6th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","5","S","Yes","Rarely","Sometimes",NA
"1161","M","7th","No","S","S","Yes","Yes","Yes","Yes","10","Today","S","S","S","Not sure","No","No","Yes","Sometimes","Sometimes",NA
"1162","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
"1163","F","7th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"1164","M","7th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Sometimes",NA
"1165","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Sometimes",NA
"1166","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","No","S","Yes","Never","Never",NA
"1167","F","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Never","Sometimes",NA
"1168","M","7th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Sometimes",NA
"1169","F","8th","Yes","75","Today","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","Yes","Yes","Most of the time","Sometimes",NA
"1170","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Most of the time","Sometimes",NA
"1171","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Rarely","Rarely",NA
"1172","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Sometimes","Never",NA
"1173","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Never","Rarely",NA
"1174","M","8th","No","S","S","Yes","Yes","No","No","S","S","Yes","No","No","Not sure","Yes","S","Yes","Rarely","Rarely",NA
"1175","N","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","5","S","Yes","Sometimes","Sometimes",NA
"1176","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","No","Rarely","Sometimes",NA
"1177","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Never","Never",NA
"1178","M","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"1179","F","8th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","4","S","Yes","Most of the time","Sometimes",NA
"1180","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Sometimes",NA
"1181","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Rarely",NA
"1182","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","4","S","Yes","Sometimes","Rarely",NA
"1183","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"1184","F","8th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Sometimes","Sometimes",NA
"1185","M","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1186","M","9th","Yes","75","Last 6 Months","S","S","S","No","S","S","No","No","No","Yes","No","No","Yes","Sometimes","Never",NA
"1187","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","3","S","No","Never","Sometimes",NA
"1188","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1189","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","No","Rarely","Most of the time",NA
"1190","M","9th","Yes","35","Last 7 Days","S","S","S","No","S","S","Yes","No","No","Yes","3","Yes","No","Rarely","Rarely",NA
"1191","F","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Most of the time","Most of the time",NA
"1192","F","9th","No","S","S","Yes","No","No","No","S","S","No","No","No","Yes","3","S","Yes","Rarely","Rarely",NA
"1193","M","9th","Yes","75","0","S","S","S","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1194","M","9th","Yes","100","15","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","4","No","Yes","Always","Rarely",NA
"1195","M","12th","Yes","75","0","S","S","S","No","S","S","No","No","No","Yes","No","S","Yes","Never","Never",NA
"1196","M","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","No","Yes","S","Yes","Sometimes","Rarely",NA
"1197","F","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"1198","M","9th","Yes","35","Last Year","S","S","S","No","S","S","Yes","No","No","Yes","Yes","No","Yes","Never","Never",NA
"1199","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","Rarely","Rarely",NA
"1200","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","Yes","S","Yes","Never","Rarely",NA
"1201","M","9th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"1202","F","9th","Yes","15","Last 7 Days","S","S","S","No","S","S","No","No","No","No","No","Yes","Yes","Rarely","Rarely",NA
"1203","M","9th","Yes","15","0","S","S","S","No","S","S","Yes","No","No","Yes","4","S","Yes","Never","Rarely",NA
"1204","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Never","Never",NA
"1205","M","9th","Yes","1","0","S","S","S","No","S","S","No","No","No","Not sure","Yes","S","Yes","Rarely","Rarely",NA
"1206","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Rarely",NA
"1207","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Always","Most of the time",NA
"1208","F","9th","Yes","75","Today","S","S","S","No","S","S","Yes","No","No","No","4","Yes","Yes","Sometimes","Rarely",NA
"1209","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","No","S","Yes","Rarely","Never",NA
"1210","M","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","Yes","S","Yes","Rarely","Rarely",NA
"1211","F","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Sometimes","Sometimes",NA
"1212","F","9th","No","S","S","No","No","No","No","S","S","Yes","No","No","Yes","No","S","Yes","Never","Never",NA
"1213","F","9th","Yes","15","Last Month","S","S","S","No","S","S","Yes","No","No","Yes","3","Yes","Yes","Rarely","Rarely",NA
"1214","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Rarely","Never",NA
"1215","F","9th","Yes","35","Last Month","S","S","S","Yes","0","Last 6 Months","S","S","S","Yes","4","No","Yes","Most of the time","Sometimes",NA
"1216","M","9th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","5","S","Yes","Sometimes","Rarely",NA
"1217","M","9th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","Yes","Sometimes","Rarely",NA
"1218","M","10th","Yes","75","30","S","S","S","Yes","0","Last Year","S","S","S","Not sure","Yes","Yes","No","Rarely","Sometimes",NA
"1219","F","10th","Yes","1","0","S","S","S","No","S","S","No","No","No","Yes","4","S","Yes","Sometimes","Sometimes",NA
"1220","M","9th","Yes","35","10","S","S","S","Yes","1","3","S","S","S","Yes","No","No","Yes","Never","Never","Last Month"
"1221","F","10th","Yes","75","Today","S","S","S","Yes","0","1-4 Years Ago","S","S","S","Yes","Yes","No","Yes","Most of the time","Sometimes",NA
"1222","F","10th","No","S","S","Yes","No","No","No","S","S","Yes","No","No","Yes","3","S","Yes","Sometimes","Rarely",NA
"1223","M","11th","Yes","100","20","S","S","S","No","S","S","Yes","No","No","Yes","3","No","No","Sometimes","Rarely",NA
"1224","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Not sure","3","S","No","Rarely","Sometimes",NA
"1225","F","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","4","S","Yes","Rarely","Rarely",NA
"1226","F","10th","Yes","15","Last 7 Days","S","S","S","No","S","S","Yes","No","No","Yes","No","Yes","Yes","Rarely","Sometimes",NA
"1227","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","Yes","Yes","S","Yes","Most of the time","Most of the time",NA
"1228","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","3","S","Yes","Rarely","Most of the time",NA
"1229","M","10th","No","S","S","No","No","No","No","S","S","No","No","No","No","Yes","S","Yes","I do not use the internet","I do not use the internet",NA
