"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"18729",2018,"F","10th","Yes","1","Today","Yes","Yes","Yes","Yes","1","1-4 Years Ago","Yes","Yes","Yes","Yes","No","","Yes","Sometimes","Sometimes"
"18730",2018,"F","10th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Yes","No","1","Yes","Rarely","Rarely"
"18731",2018,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","Yes","1","Yes","Rarely","Most of the time"
"18732",2018,"M","10th","Yes","15","Today","Yes","No","No","No","1","Today","*","No","No","Yes","No","1","Yes","Rarely","Sometimes"
"18733",2018,"F","10th","No","1","Today","No","No","No","Yes","1","1-4 Years Ago","Yes","Yes","Yes","Yes","No","1","Yes","Always","Sometimes"
"18734",2018,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","Yes","Never","Rarely"
"18735",2018,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Never"
"18736",2018,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","No","No","1","No","Most of the time","Sometimes"
"18737",2018,"M","6th","Yes","15","Today","Yes","No","No","No","1","Today","No","No","No","Yes","Yes","2","Yes","Sometimes","Rarely"
"18738",2018,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Never","Sometimes"
"18739",2018,"F","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Not Sure","No","1","Yes","Rarely","Sometimes"
"18740",2018,"M","6th","No","1","Today","No","No","No","No","1","Today","No","No","No","Yes","No","1","Yes","Rarely","Sometimes"
