"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Last_Used","Cigarette_Curiosity","Cigarette_Try","Any_Tobacco_Craving","E_Cig_Promotions_Internet"
"132",2016,"M","6th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","","Always"
"133",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"134",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"135",2016,"M","8th","Yes","75","Today","Yes","No","Yes","No","1","Today","Yes","No","No","Sometimes"
"136",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"137",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"138",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"139",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"140",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Always"
"141",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"142",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"143",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"144",2016,"F","8th","Yes","15","Today","Yes","No","No","Yes","4","Last 7 Days","Yes","No","No","Rarely"
"145",2016,"F","8th","No","1","Today","Yes","No","No","Yes","4","Today","Yes","Yes","Yes","Rarely"
"146",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"147",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"148",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"149",2016,"F","8th","Yes","1","Today","No","No","No","Yes","1","Today","No","No","No","Sometimes"
"150",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"151",2016,"F","8th","Yes","75","Last 6 Months","Yes","Yes","Yes","Yes","1","Today","No","No","No","Rarely"
"152",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"153",2016,"M","8th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Rarely"
"154",2016,"F","8th","No","1","Today","Yes","No","No","No","1","Today","Yes","No","No","Sometimes"
"155",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"156",2016,"M","8th","Yes","15","Last Month","Yes","Yes","Yes","Yes","5","Last 7 Days","Yes","Yes","No","Sometimes"
"157",2016,"F","8th","Yes","75","Last 7 Days","Yes","Yes","Yes","Yes","6","Last Month","Yes","Yes","No",""
"158",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"159",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"160",2016,"M","6th","Yes","7","5 Years Ago","Yes","Yes","Yes","Yes","8","5 Years Ago","Yes","Yes","",""
"161",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"162",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"163",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"164",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","","No","No","Sometimes"
"165",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"166",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"167",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"168",2016,"F","8th","No","1","Today","No","No","No","Yes","2","Today","No","No","No","Rarely"
"169",2016,"M","8th","Yes","15","Today","Yes","Yes","Yes","Yes","4","Today","Yes","No","No","Rarely"
"170",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"171",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"172",2016,"F","8th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"173",2016,"M","8th","No","1","Today","No","No","No","No","1","Today","Yes","No","No","Never"
"174",2016,"M","8th","No","1","Today","Yes","Yes","Yes","Yes","2","Today","Yes","No","No","Rarely"
"175",2016,"F","8th","Yes","75","Today","Yes","Yes","Yes","Yes","2","Today","Yes","No","Yes","Sometimes"
"176",2016,"F","8th","Yes","75","Today","Yes","No","No","No","1","Today","Yes","No","No","Sometimes"
"177",2016,"F","8th","No","1","Today","No","No","No","","","Today","No","No","No","Rarely"
"178",2016,"M","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"179",2016,"F","11th","Yes","15","Today","Yes","No","Yes","Yes","2","Today","Yes","No","No","Sometimes"
"180",2016,"M","12th","Yes","35","Last Month","Yes","Yes","Yes","Yes","6","Last 7 Days","Yes","No","No","Never"
"181",2016,"M","11th","Yes","15","Last 7 Days","Yes","Yes","Yes","Yes","8","Last 6 Months","No","No","No","Most of the time"
"182",2016,"M","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"183",2016,"F","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"184",2016,"M","12th","Yes","15","Today","Yes","No","No","No","1","Today","No","No","No","Sometimes"
"185",2016,"M","12th","Yes","1","Today","Yes","No","No","No","1","Today","No","No","No","Sometimes"
"186",2016,"F","12th","Yes","15","Today","Yes","No","Yes","Yes","4","Today","Yes","No","No","Rarely"
"187",2016,"F","12th","Yes","15","Today","Yes","No","No","Yes","7","Today","Yes","No","No","Sometimes"
"188",2016,"F","12th","Yes","15","Today","Yes","No","No","Yes","7","Today","No","Yes","No","Sometimes"
"189",2016,"F","12th","Yes","75","Last Month","Yes","Yes","Yes","Yes","8","5 Years Ago","Yes","Yes","Yes","Sometimes"
"190",2016,"F","12th","Yes","100","Last Year","No","Yes","Yes","Yes","8","1-4 Years Ago","No","Yes","Yes","Sometimes"
"191",2016,"M","12th","Yes","75","Today","Yes","Yes","Yes","Yes","4","Today","No","Yes","No","Sometimes"
"192",2016,"F","12th","No","1","Today","Yes","Yes","Yes","Yes","4","Today","No","No","No","Never"
"193",2016,"M","12th","No","1","Today","Yes","Yes","No","No","1","Today","No","No","No","Sometimes"
"194",2016,"M","12th","Yes","","","Yes","No","No","Yes","7","Last 6 Months","Yes","No","Yes","Most of the time"
"195",2016,"M","12th","Yes","100","","Yes","Yes","Yes","Yes","5","Today","No","No","No","I do not use the internet"
"196",2016,"F","12th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"197",2016,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"198",2016,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"199",2016,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"200",2016,"F","11th","No","1","Today","No","No","No","Yes","5","Today","Yes","No","No","Rarely"
"201",2016,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"202",2016,"M","11th","Yes","75","Today","Yes","No","Yes","Yes","8","5 Years Ago","Yes","Yes","Yes",""
"203",2016,"M","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"204",2016,"M","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"205",2016,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"206",2016,"M","11th","Yes","7","5 Years Ago","Yes","Yes","Yes","Yes","6","Last Year","Yes","Yes","Yes","Sometimes"
"207",2016,"M","11th","No","1","Today","Yes","No","No","Yes","2","Today","No","No","No","Rarely"
"208",2016,"M","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"209",2016,"F","11th","Yes","35","Today","Yes","Yes","Yes","Yes","5","Today","Yes","Yes","Yes","Rarely"
"210",2016,"F","11th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"211",2016,"F","11th","Yes","75","Today","Yes","No","No","No","1","Today","No","No","No","Never"
"212",2016,"M","11th","No","1","Today","No","No","No","Yes","2","Today","No","No","No","Rarely"
"213",2016,"M","10th","No","1","Today","No","No","No","Yes","2","Today","No","No","No","Most of the time"
"214",2016,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Never"
"215",2016,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"216",2016,"F","10th","No","1","Today","Yes","No","No","Yes","2","Today","No","No","No","Sometimes"
"217",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"218",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Sometimes"
"219",2016,"M","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"220",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
"221",2016,"M","10th","Yes","100","Last 6 Months","Yes","Yes","No","Yes","8","1-4 Years Ago","Yes","Yes","Yes","Rarely"
"222",2016,"M","10th","Yes","35","Last Month","Yes","Yes","","Yes","8","Last 7 Days","Yes","Yes","Yes","Sometimes"
"223",2016,"F","10th","No","1","Today","No","No","No","No","1","Today","No","No","No","Rarely"
