"","Year","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"906",2021,"1","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Disagree","Rarely","Rarely"
"907",2021,"2","11th","No",NA,NA,"Yes","Yes","No","No",NA,"Yes","Yes","Yes","Yes",NA,NA,"Agree","Sometimes","Sometimes"
"908",2021,"2","11th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Agree","Never","Never"
"909",2021,"2","11th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Disagree","Most of the time","Sometimes"
"910",2021,"1","11th","Yes","0","Last Year",NA,NA,NA,"No",NA,"No","No","No",NA,NA,NA,NA,NA,NA
"911",2021,"2","11th","Yes","0","Last 6 Months",NA,NA,NA,"No",NA,"No","No","No","No",NA,NA,"Agree","Sometimes","Rarely"
"912",2021,"1","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Disagree","Rarely","Sometimes"
"913",2021,"1","11th","No",NA,NA,"Yes","No","No","No",NA,"Yes","No","No","Yes",NA,NA,"Strongly Agree","Most of the time","Most of the time"
"914",2021,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915",2021,"2","11th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","Yes",NA,NA,"Strongly Disagree","Always","Always"
"916",2021,"1","11th","No",NA,NA,"No","No","No","No",NA,NA,"No","No",NA,NA,NA,NA,NA,NA
"917",2021,"1","11th","No",NA,NA,"No","No","No","No",NA,"Yes","No","No","No",NA,NA,"Agree","Never","Rarely"
"918",2021,"2","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Yes",NA,NA,"Agree","Sometimes","Sometimes"
"919",2021,"2","11th","No",NA,NA,"No","No","No","No",NA,"No","No","No","Not Sure",NA,NA,"Agree","Rarely","Rarely"
"920",2021,"2","11th","No",NA,NA,"Yes","No","No","No",NA,"No","No","No","No",NA,NA,"Strongly Disagree","Sometimes","Rarely"
"921",2021,"1","12th","No",NA,NA,"No","No","No","No",NA,"No","No","No","No",NA,NA,"Agree","Never","Sometimes"
