"","Gender","Grade_of_Student","E_Cig_Ever_Used","E_Cig_Days_Used","E_Cig_Last_Used","E_Cig_Curiousity","E_Cig_Try","E_Cig_Try_Next_Year","Cigarette_Ever_Used","Cigarette_Days_Used","Cigarette_Curiosity","Cigarette_Try","Cigarette_Try_Next_Year","The_Real_Cost","Any_Tobacco_Craving","Attempt_Quitting_Tobacco","Are_Tobacco_Products_Harmful","E_Cig_Promotions_Internet","Tobacco_Promotions_Internet"
"16228",2,2,2,NA,NA,3,4,4,2,NA,3,4,4,1,NA,NA,2,3,3
"16229",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,2
"16230",1,3,2,NA,NA,2,3,3,2,NA,3,4,4,1,2,5,3,5,3
"16231",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16232",2,3,1,25,2,NA,NA,NA,1,0,NA,NA,NA,1,2,1,2,3,4
"16233",2,3,2,NA,NA,3,3,3,2,NA,4,4,4,1,NA,NA,2,4,4
"16234",2,3,2,NA,NA,3,3,3,2,NA,3,3,3,1,NA,NA,1,5,4
"16235",1,3,1,0,5,NA,NA,NA,2,NA,1,3,3,1,NA,NA,3,4,3
"16236",2,3,2,NA,NA,2,4,3,2,NA,4,4,4,2,NA,NA,1,3,3
"16237",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16238",1,3,2,NA,NA,2,4,4,2,NA,2,4,4,NA,NA,NA,NA,6,NA
"16239",2,3,1,0,6,NA,NA,NA,2,NA,2,2,2,1,NA,NA,2,4,4
"16240",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16241",1,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,4,4
"16242",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,2,2,2
"16243",1,3,2,NA,NA,NA,4,4,2,NA,4,4,4,2,NA,NA,NA,2,2
"16244",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,2,NA,NA,1,2,3
"16245",2,3,2,NA,NA,4,4,3,2,NA,4,4,4,1,NA,NA,3,3,4
"16246",2,3,2,NA,NA,1,2,3,1,0,NA,NA,NA,2,NA,NA,1,5,4
"16247",2,3,2,NA,NA,4,4,4,2,NA,4,4,4,1,NA,NA,1,3,3
"16248",1,3,2,NA,NA,4,4,4,2,NA,3,4,4,2,NA,NA,1,2,2
"16249",2,3,2,NA,NA,3,4,4,2,NA,4,4,4,2,NA,NA,2,3,3
"16250",2,3,2,NA,NA,3,3,2,2,NA,4,4,4,1,NA,NA,2,2,2
